artist,title,Lyrics
Bob Marley & The Wailers,War,"Until the philosophy which hold one race
Superior and another Inferior
Is finally
And permanently
Discredited
And abandoned
Everywhere is war
Me say war

That until there are no longer
First-class and second-class citizens of any nation
Until the colour of a man's skin
Is of no more significance than the colour of his eyes
Me say war

That until the basic human rights
Are equally guaranteed to all
Without regard to race
Dis a war

That until that day
The dream of lasting peace
World citizenship
Rule of international morality
Will remain in but a fleeting illusion to be pursued
But never attained
Now everywhere is war
War

And until the ignoble and unhappy regime
That hold our brothers in Angola
In Mozambique
South Africa
Sub-human bondage
Have been toppled
Utterly destroyed
Well, everywhere is war
Me say war

War in the east
War in the west
War up north
War down south

War, war
Rumors of war
And until that day
The African continent
Will not know peace
We Africans will fight, we find it necessary
And we know we shall win
As we are confident
In the victory
Of good over evil

Good over evil, yeah!
Good over evil
Good over evil, yeah!
Good over evil
Good over evil, yeah!"
Bob Marley & The Wailers,Natural Mystic,"There's a natural mystic blowing through the air
If you listen carefully now you will hear

This could be the first trumpet, might as well be the last
Many more will have to suffer
Many more will have to die
Don't ask me why
Things are not the way they used to be
I won't tell no lie

One and all got to face reality now
Though I've tried to find the answer to all the questions they ask
Though I know it's impossible to go living through the past
Don't tell no lie

There's a natural mystic blowing through the air
Can't keep them down
If you listen carefully now you will hear

Such a natural mystic, blowing through the air

This could be the first trumpet, might as well be the last
Many more will have to suffer
Many more will have to die - don't ask me why

There's a natural mystic blowing through the air
I won't tell no lie
If you listen carefully now you will hear
There's a natural mystic blowing through the air

Such a natural mystic blowing through the air
There's a natural mystic blowing through the air
Such a natural mystic blowing through the air
Such a natural mystic blowing through the air
Such a natural mystic blowing through the air"
Bob Marley & The Wailers,Exodus,"Exodus, Movement of Jah people! Oh-oh-oh, yea-eah!

Men and people will fight ya down (Tell me why!)
When ya see Jah light (Ha-ha-ha-ha-ha-ha-ha!)
Let me tell you if you're not wrong; (Then, why?)
Everything is all right
So we gonna walk - all right! - through de roads of creation:
We the generation (Tell me why!)
(Trod through great tribulation) trod through great tribulation

Exodus, all right! Movement of Jah people
Oh, yeah! O-oo, yeah! All right!
Exodus: Movement of Jah people

Yeah-yeah-yeah, well!
Uh! Open your eyes and look within:
Are you satisfied (with the life you're living)? Uh!
We know where we're going, uh!
We know where we're from
We're leaving Babylon
We're going to our Father land
2, 3, 4: Exodus: movement of Jah people! Oh, yeah!
(Movement of Jah people!) Send us another brother Moses!
(Movement of Jah people!) From across the Red Sea!
(Movement of Jah people!) Send us another brother Moses!
(Movement of Jah people!) From across the Red Sea!
Movement of Jah people!
Exodus, all right! Oo-oo-ooh! Oo-ooh!
Movement of Jah people! Oh, yeah!
Exodus!
Exodus! All right!
Exodus! Now, now, now, now!
Exodus!
Exodus! Oh, yea-ea-ea-ea-ea-ea-eah!
Exodus!
Exodus! All right!
Exodus! Uh-uh-uh-uh!
Move! Move! Move! Move! Move! Move!
Open your eyes and look within:
Are you satisfied with the life you're living?
We know where we're going;
We know where we're from
We're leaving Babylon, y'all!
We're going to our Father's land
Exodus, all right! Movement of Jah people!
Exodus: movement of Jah people!
Movement of Jah people!
Movement of Jah people!
Movement of Jah people!
Movement of Jah people!
Move! Move! Move! Move! Move! Move! Move!
Jah come to break downpression
Rule equality
Wipe away transgression
Set the captives free
Exodus, all right, all right!
Movement of Jah people! Oh, yeah!
Exodus: movement of Jah people! Oh, now, now, now, now!
Movement of Jah people!
Movement of Jah people!
Movement of Jah people!
Movement of Jah people!
Movement of Jah people!
Movement of Jah people!
Move! Move! Move! Move! Move! Move! Uh-uh-uh-uh!
Move(ment of Jah people)!
Move(ment of Jah people)!
Move(ment of Jah people)!
Move(ment of Jah people)! Movement of Jah people!
Move(ment of Jah people)!
Move(ment of Jah people)!
Movement of Jah people!
Movement of Jah people!
Movement of Jah people!"
Bob Marley & The Wailers,Rat Race,"Uh! Ya too rude!
Uh! Eh! OH What a rat race!
Oh, what a rat race!
Oh, what a rat race!
Oh, what a rat race!
This is the rat race! Rat race! (Rat race!)
Some a lawful, some a bastard, some a jacket
Oh, what a rat race, yeah! Rat race!

Some a gorgon-a, some a hooligan-a, some a guine-gog-a
In this sphere rat race, yeah!
Rat race!
I'm singing that
When the cat's away
The mice will play
Political violence fill ya city, ye-ah!
Don't involve Rasta in your say say
Rasta don't work for no C.I.A
Rat race, rat race, rat race! Rat race, I'm saying
When you think is peace and safety
A sudden destruction
Collective security for surety, ye-ah!

Don't forget your history
Know your destiny
In the abundance of water
The fool is thirsty
Rat race, rat race, rat race!

Rat race!
Oh, it's a disgrace
To see the human-race
In a rat race, rat race!
You got the horse race
You got the dog race
You got the human-race
But this is a rat race, rat race!"
Bob Marley & The Wailers,Sun is Shining,"Sun is shining, the weather is sweet
Make you want to move your dancing feet
To the rescue, here I am
Want you to know, you all, where I stand

(Monday morning) here I am
Want you to know just if you can
(Tuesday evening) where I stand
(Wednesday morning) Tell myself a new day is rising
(Thursday evening) get on the rise
A new day is dawning
(Friday morning) here I am
(Saturday evening) want you to know just
Want you to know just where I stand

When the morning gathers the rainbow
Want you to know I'm a rainbow too
So to the rescue, here I am
Want you to know just if you can
Where I stand, know, know, know, know, know, know, know, know
We'll lift our heads and give Jah praises

Sun is shining, the weather is sweet
Make you want to move your dancing feet
To the rescue, here I am
Want you to know, you all, where I stand

(Monday morning) here I am
Want you to know just if you can
(Tuesday evening) where I stand
(Wednesday morning) Tell myself a new day is rising
(Thursday evening) get on the rise
A new day is dawning
(Friday morning) here I am
(Saturday evening) want you to know just
Want you to know just where I stand

To the rescue, to the rescue
To the rescue, to the rescue
Awake from your sleep and slumber
Today could bring your lucky number

Sun is shining and the weather is sweet
Sun is shining"
Bob Marley & The Wailers,Easy Skanking,"Easy skanking (skanking it easy)
Easy skanking (skanking it slow)
Easy skanking (skanking it easy)
Easy skanking (skanking it slow)

Excuse me while I light my spliff (spliff)
Good God, I got to take a lift (lift)
From reality I just can't drift (drift)
That's why I am staying with this riff (riff)

Take it easy (easy skanking)
Lord, I take it easy (easy skanking)
Take it easy (easy skanking)
Got to take it easy (easy skanking)

See, we're taking it easy (ooh-wah-da da-da)
We taking it slow (ooh-wah-da da-da)
Taking it easy (easy)
Got to take it slow (slow-slow)
So take it easy (easy skanking - da-da-da-da-da-da)
Wo-oh, take it easy (easy skanking)
Take it easy (easy skanking - da-da-da-da-da-da)
Take it easy. (easy skanking)

Excuse me while I light my spliff (spliff)
Oh, God, I got to take a lift (lift)
From reality I just can't drift (drift)
That's why I am staying with this riff (riff)

Take it easy (taking it easy)
Got to take it easy (taking it slow)
Take it easy (taking it easy)
Skanky, take it easy (taking it slow)

Tell you what
Herb for my wine (ooh-wa-da-da-da)
Honey for my strong drink (ooh-wa-da-da-da)
Herb for my wine (ooh-wa-da-da-da)
Honey for my strong drink

I shake it easy (taking it easy)
Skanky, take it easy (skanking it slow)
Take it (taking it easy) easy
Take it (skanking it slow) easy

Take it easy (taking it easy)
Oh-oh-ooh! (skanking it slow)
Little bit easier (taking it easy)
Skanky, take it easy (skanking it slow)
Take it easy
Take it easy
Take it easy"
Bob Marley & The Wailers,Stir It Up,"Stir it up; little darling, stir it up. Come on, baby
Come on and stir it up: little darling, stir it up. O-oh!

It's been a long, long time, yeah!
(stir it, stir it, stir it together)
Since I got you on my mind. (ooh-ooh-ooh-ooh) Oh-oh!
Now you are here (stir it, stir it, stir it together), I said
It's so clear
To see what we could do baby, (ooh-ooh-ooh-ooh)
Just me and you

Come on and stir it up; I will say, little darling!
Stir it up; come on, baby!
Come on and stir it up, yeah!
Little darling, stir it up! O-oh!
Verse 
I will push the wood (stir it, stir it, stir it together)
Then I blaze your fire
Then I will satisfy your heart's desire. (ooh-ooh-ooh-ooh)
Said, I stir it every (stir it, stir it, stir it together)
Every minute
All you got to do, baby, (ooh-ooh-ooh-ooh)
Is keep it in, eh!

Come on and stir it up; I will say, little darling!
Stir it up; come on, baby!
Come on and stir it up, yeah!
Little darling, stir it up! O-oh!

Quench me when I am thirsty
Come on and cool me down, baby, when I am hot. (ooh-ooh-ooh-ooh)
Your recipe darling is so tasty
When you show and stir your pot. (ooh-ooh-ooh-ooh)

Come on and stir it up; I will say, little darling!
Stir it up; come on, baby!
Come on and stir it up, yeah!
Little darling, stir it up! O-oh!


Come on and stir it up; I will say, little darling!
Stir it up; come on, baby!
Come on and stir it up, yeah!
Little darling, stir it up! O-oh!"
Bob Marley & The Wailers,Satisfy My Soul,"Oh, please don't you rock my boat (don't rock my boat)
Because I don't want my boat to be rocking (don't rock my boat)
Oh, please don't you rock my boat (don't rock my boat)
Because I don't want my boat to be rocking (don't rock my boat)

I'm telling you that, oh, oh-ooh, wo-o-wo!
I like it - like it this (I like it like this, I like it like this)
So keep it steady, like this. (I like it like this)
And you should know - you should know by now
I like it (I like it like this), I like it like this
(I like it like this, I like it like this)
I like it like this, ooh yeah! (I like it like this)

Satisfy my soul You satisfy my soul (satisfy my soul)
You satisfy my soul (satisfy my soul)
Every little action (satisfy my soul)
There's a reaction (satisfy my soul)
Oh, can't you see what you've done for me, oh, yeah
I am happy inside all - all of the time. Wo-oo-o-oo

When we (bend) bend a new corner
I feel like a (sweep) sweepstake winner
When I meet you around the corner (round the corner)
You make me feel like a sweepstake winner (a sweep - a sweepstake winner)

Whoa, child! Can't you see? You must believe me
Oh darling, darling, I'm calling, calling
Can't you see? Why won't you believe me
Oh, darling, darling, I'm calling, calling
(calling, calling, calling, calling)

When I meet you around the corner
Oh, I said, ""Baby, never let me be a loner
And then you hold me tight, you make me feel all right
Yes, when you hold me tight, you made me feel all right


Satisfy my soul, that's all I want you to do
That's all I'll take from you, satisfy my soul"
Bob Marley & The Wailers,Concrete Jungle,"No sun will shine in my day today
(No sun will shine)
The high yellow moon won't come out to play
(That high yellow moon won't come out to play)
I said darkness has covered my light (Darkness has covered my light)
And has changed my day into night, yeah (And has changed my day into night)
Where is the love to be found ?
Won't someone tell me ?
Cause life (Sweet life)
Must be somewhere to be found (Has got to be, out there somewhere for me)
Instead of concrete jungle (Jungle, jungle, jungle)
Where the living is hardest (Concrete jungle)
Concrete jungle (Concrete jungle, jungle, jungle)
Man, you've got to do your best (Concrete jungle)

No chains around my feet but I'm not free
I know I am bound here in captivity
Yeah, now (Never know what happiness is)
I've never known happiness
I've never known what sweet caress is (Never know what sweet caress is)
Still, I'll be always laughing like a clown
Won't someone help me ?
Cause I (Sweet life, has got to be)
I've got to pick myself from off the ground
(Out there somewhere for me)
In this here concrete jungle (Jungle, jungle, jungle)
I said, what do you got for me now (Concrete jungle)
Oh ! Concrete jungle (Concrete jungle, jungle, jungle)
Why won't you let me be, now ? (Concrete jungle)


I said that life (Sweet life)
It must be somewhere to be found (Has got to be out there somewhere for me)
Oh, instead of concrete jungle (Jungle, jungle, jungle)
Illusion (concrete, jungle !)
Confusion (Concrete, jungle !)

Eh ! Concrete jungle
You name it, you've got it in
Concrete jungle, now (Concrete jungle)
Eh ! Concrete jungle (Jungle, jungle, jungle)
What do you got for me, now ?"
Bob Marley & The Wailers,Time Will Tell,"Jah would never give the power to a bald head
Run come crucify the Dread

Time alone - oh, time will tell
Think you are in heaven, but you living in hell
Think you are in heaven, but you living in hell
Think you are in heaven, but you living in hell
Time alone - oh, time will tell
You think you are in heaven, but you living in hell
Back them up, not the brothers
But the ones who sets them up


Mmm, sold my freedom 'round the world
Sold man to the ground
Sold man, took a man pride
Oh, children, weep no more
Oh, my sycamore tree, saw the freedom tree
Saw you settle the score
Oh, children, weep no more"
Bob Marley & The Wailers,Trenchtown Rock,"One good thing about music, when it hits you feel no pain
One good thing about music, when it hits you feel no pain
So hit me with music, hit me with music
Hit me with music, hit me with music now
I got to say trench town rock
I say don't watch that
Trench town rock, big fish or sprat
Trench town rock, you reap what you sow
Trench town rock, and everyone know now
Trench town rock, don't turn your back
Trench town rock, give the slum a try
Trench town rock, never let the children cry
Trench town rock, cause you got to tell Jah, Jah

You grooving Kingston 12, grooving, Kingston 12
Grooving woe, woe, it's Kingston 12
Grooving it's Kingston 12
No want you fe galang so
No want you fe galang so
You want come cold I up
But you can't come cold I up
Cause I'm grooving, yes I'm grooving

I say one good thing, one good thing
When it hits you feel no pain
One good thing about music
When it hits you feel no pain
So hit me with music
Hit me with music now
Hit me with music, hit me with music
Look at that, Trench Town rock
I say don't watch that, Trench Town rock
If you big fish or sprat, Trench Town rock
You reap what you sow, Trench Town rock
And everyone know now, Trench Town rock
Don't turn your back, Trench Town rock
Give the slum a try, Trench Town rock
Never let the children cry, Trench Town rock
Cause you got to tell Jah, Jah why
Grooving, grooving, grooving, grooving"
